r	f(r)
0.74,2.98e+003
0.742,2.87e+003
0.744,2.76e+003
0.746,2.65e+003
0.748,2.55e+003
0.75,2.45e+003
0.752,2.36e+003
0.754,2.27e+003
0.756,2.18e+003
0.758,2.1e+003
0.76,2.02e+003
0.762,1.95e+003
0.764,1.87e+003
0.766,1.8e+003
0.768,1.73e+003
0.77,1.67e+003
0.772,1.61e+003
0.774,1.55e+003
0.776,1.49e+003
0.778,1.43e+003
0.78,1.38e+003
0.782,1.33e+003
0.784,1.28e+003
0.786,1.23e+003
0.788,1.19e+003
0.79,1.14e+003
0.792,1.1e+003
0.794,1.06e+003
0.796,1.02e+003
0.798,984
0.8,948
0.802,914
0.804,880
0.806,848
0.808,817
0.81,788
0.812,759
0.814,732
0.816,705
0.818,680
0.82,655
0.822,631
0.824,609
0.826,587
0.828,566
0.83,545
0.832,526
0.834,507
0.836,489
0.838,471
0.84,454
0.842,438
0.844,423
0.846,408
0.848,393
0.85,379
0.852,366
0.854,353
0.856,340
0.858,328
0.86,316
0.862,305
0.864,294
0.866,284
0.868,274
0.87,264
0.872,255
0.874,246
0.876,237
0.878,229
0.88,221
0.882,213
0.884,205
0.886,198
0.888,191
0.89,184
0.892,178
0.894,172
0.896,166
0.898,160
0.9,154
0.902,149
0.904,143
0.906,138
0.908,133
0.91,129
0.912,124
0.914,120
0.916,116
0.918,111
0.92,107
0.922,104
0.924,100
0.926,96.4
0.928,93
0.93,89.7
0.932,86.5
0.934,83.4
0.936,80.4
0.938,77.6
0.94,74.8
0.942,72.1
0.944,69.5
0.946,67
0.948,64.6
0.95,62.3
0.952,60
0.954,57.8
0.956,55.7
0.958,53.7
0.96,51.8
0.962,49.9
0.964,48
0.966,46.3
0.968,44.6
0.97,42.9
0.972,41.3
0.974,39.8
0.976,38.3
0.978,36.9
0.98,35.5
0.982,34.2
0.984,32.9
0.986,31.6
0.988,30.4
0.99,29.3
0.992,28.1
0.994,27.1
0.996,26
0.998,25
1,24
1,23.1
1,22.2
1.01,21.3
1.01,20.4
1.01,19.6
1.01,18.8
1.01,18.1
1.02,17.3
1.02,16.6
1.02,15.9
1.02,15.2
1.02,14.6
1.03,14
1.03,13.4
1.03,12.8
1.03,12.2
1.03,11.7
1.04,11.2
1.04,10.7
1.04,10.2
1.04,9.73
1.04,9.28
1.05,8.84
1.05,8.42
1.05,8.01
1.05,7.62
1.05,7.24
1.06,6.88
1.06,6.53
1.06,6.19
1.06,5.86
1.06,5.54
1.07,5.24
1.07,4.95
1.07,4.66
1.07,4.39
1.07,4.13
1.08,3.87
1.08,3.63
1.08,3.39
1.08,3.16
1.08,2.94
1.09,2.73
1.09,2.53
1.09,2.33
1.09,2.15
1.09,1.96
1.1,1.79
1.1,1.62
1.1,1.46
1.1,1.3
1.1,1.15
1.11,1.01
1.11,0.871
1.11,0.737
1.11,0.609
1.11,0.486
1.12,0.367
1.12,0.253
1.12,0.144
1.12,0.0392
1.12,-0.0615
1.13,-0.158
1.13,-0.251
1.13,-0.34
1.13,-0.425
1.13,-0.507
1.14,-0.585
1.14,-0.66
1.14,-0.732
1.14,-0.8
1.14,-0.866
1.15,-0.929
1.15,-0.989
1.15,-1.05
1.15,-1.1
1.15,-1.15
1.16,-1.2
1.16,-1.25
