i  K  U  E
695.1,-2573,-1878
688,-2566,-1878
682,-2560,-1878
676.1,-2554,-1878
671.9,-2550,-1878
671.8,-2550,-1878
675.7,-2554,-1878
681.8,-2560,-1878
687.5,-2566,-1878
691.7,-2570,-1878
694.7,-2573,-1878
696.7,-2575,-1878
696.2,-2575,-1878
692.2,-2571,-1878
684.8,-2563,-1878
676.8,-2555,-1878
673.1,-2551,-1878
676.4,-2554,-1878
684.1,-2563,-1878
688.8,-2568,-1879
684.4,-2563,-1879
673.5,-2552,-1878
663.9,-2542,-1878
659.9,-2538,-1878
660,-2538,-1878
659.9,-2538,-1879
657.4,-2536,-1878
654.7,-2533,-1878
655.7,-2534,-1878
662.2,-2540,-1878
670.3,-2549,-1879
